Italian word,English translation
falli,to fail / to flop / to go bankrupt
estraneo,alien / extraneous / foreign / unrelated / unconnected
urlato,To howl / To scream or yell / To squall
piove,to fall / to rain
firmi,to sign
tacchi,chock [to stop a wheel] / heel [of a shoe]
ricordarti,to commemorate / to mention / record / to remember / recall / recollect
scopriamo,to discover / find out / to sight; to spot / to uncover
dominio,control / mastery / power
accadesse,to happen
invasione,invasion / rush
attualmente,currently / at the moment / at the present time
vedesse,to see
dirla,to say / to tell
impedito,clumsy / awkward / hampered / encumbered
dimensione,dimension / measurement / dimension / size / scale / proportion
democrazia,democracy
trapianto,transplant / transplantation / graft
guardala,look at her
dimenticate,to forget
scommesse,bet (f.)
volpe,vixen / fox / crafty devil
dossier,dossier
altamente,extremely / highly
peste,pest / nuisance / plague / urchin
y,See under Y
seguente,following / next / subsequent / succeeding
inchiesta,investigation / inquiry / report / survey / poll
soprannome,nickname
recenti,recent
geni,gene
sobrio,sober / moderate / unpretentious
musical,musical
elettrico,electrical / electric / electricity
produrre,to cause / produce / to produce / manufacture / make
paure,fears
destinato,destined
cemento,cement
prendimi,you take
frode,A fraud / a deceit / a cheat / an adulteration
attaccati,to attack / to stick / attach / append
dovessimo,to have to / must
inganno,cheat / fraud / swindle / deception / trick / trickery
finanziario,financial / fiscal / monetary
organizzando,to organize / arrange / set up
venir,to come (apocopated)
renderti,To be profitable / To give back / to return / To make
globale,global / total / overall / inclusive
permetterci,to allow / to let / to permit / to authorize / to entitle
orsi,bear
radici,sparse / thin
rara,rare
pagati,pay / reward / recompense / wages
fusione,fusion / melting / merger / amalgamation
vigilata,Woman on probation
generatore,generator
terrorizzato,to terrify / to terrorize
consideri,to consider / to examine / to weight / to contemplate
liscio,straight / still
sognando,to dream
vendendo,to sell
delta,delta
mise,put (p.r.)
tequila,peyote cactus / tequila
squali,shark
sposarci,to embrace / espouse / join
acquisto,purchase / acquisition
aerea,aerial / aeroplane [British] / airplane [US]
dichiarazioni,declaration / announcement / statement / remark / bid / bidding
economica,economic / financial / inexpensive / cheap / economy
minori,minore / minor / younger
scappati,to escape / to flee / to run away
comunicato,announced / communicated
tirate,to pull / draw / kick / bend / die / to throw / shoot / drag / toss / roll
ciambelle,any of several other ring-shaped cushions / rubber rings etc
stupidaggini,poppycock / stupidity / foolishness
prosciutto,prosciutto / ham
edizione,broadcast / edition
cenere,ash / cinder
iniziativa,activity / initiative / enterprise
porterai,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
useremo,to use something
divertirci,to amuse / to entertain
inserire,(to) enter / put [something] in(to) / puts
alimentare,food / alimentary / dietary / eating
contessa,countess
onorevole,honourable
treni,trains
irene,female given name
danneggiato,To damage or harm
mancia,tip [in a restaurant / etc.]
assoluta,absolute / complete / total
febbraio,February
nascondiglio,cache / hoard / hiding place / hideaway
violato,to break / violate / infringe / profane / rape
fermarla,to close / to stop
penserà,will think
incontrarlo,to play / fight
limone,lemon / lemon tree / lemon yellow
barriera,barrier / turnpike / reef / tollgate / tollroad / toll bridge
finestrino,window / small window
collegati,colleague
perderti,to lose
impedisce,to prohibit / obstruct / hamper or hinder
piloti,pilot / driver / pilot
presentimento,premonition / presentiment
gratitudine,gratitude
suprema,supreme
apparecchio,airplane / aircraft / apparatus / instrument / device / set / appliance
avvicinarsi,walks / near / nearest
registrata,to adjust / set / to check in / to record / tape / video
panchina,seats
accompagnato,to accompany / add / match / to go with / come with / accompany / escort
lascera,to leave / let
contadino,rural / country / peasant / farmer
incontreremo,to play / fight
fondazione,foundation
sbarre,barrier / bar / bend sinister
missile,missile / missile
mito,myth
suggerisce,to prompt / to suggest / hint / propose / advice
giusti,Italian surname
adozione,adoption / selection
usciva,to go out / exit
spade,épée / spades / sword
filmati,to film / shoot
operare,to operate / work / act / to operate on / to work / do / perform / carry out
seta,silk
ditta,firm / company / concern / house
rifare,to redo / remake / retie
abitudini,custom / habit / practice / routine
riporto,amount carried forward / appliqué
liberarsi,reflexive form of liberare / to become free / become vacant
tatuaggi,tattoo
studiando,to study
tecnici,technical / engineer / technician
ritardato,retarded
credetemi,you (pl.) believe
accomodatevi,to arrange / settle; to accommodate / to repair / fix / to suit
sbagliare,missed
stradale,road / traffic / traffic police
santi,saint (m.)
arrabbiati,to have rabies; to be rabid
vendono,to sell
coltelli,knife
parlarvi,to speak / talk
allerta,alert / attentive / vigilant / alert / alarm / warning signal / alarm bell
volgare,common / popular / vernacular / vulgar / coarse
basato,to base / ground / found
israele,Israel
rilasciare,to give [an interview] / to issue [a document]
protegge,to protect
spiegarti,to explain / elucidate / expound / show / account / understand
cancelli,gate / fence
superman,superman
ceneri,Ash Wednesday
sostanze,essence / substance / pith / gist / property / possessions / means / wealth
suggerito,to prompt / to suggest / hint / propose / advice
pollice,thumb / inch
ostacolo,obstacle / hurdle )
scudi,scudo / escudo / shield
timido,shy
giocano,to gamble / bet / to game / to play
deriva,centreboard / drift / fin
quassu,up here
insistere,to persist in doing something / to insist on something
malinteso,misunderstood / misunderstanding / misconstruction / misapprehension
chiederglielo,to ask / to request
avvertire,to feel / sense / perceive / to inform / tell / notify / to warn / caution
veste,appearance / capacity / clothes / habit
poeta,poet / (he/she/it) writes poetry / (you) write poetry
polo,pole / polo
porteranno,to bear / feel / nourish / to bring / fetch / take / carry / to have / bear
mutandine,pants
luca,Luke [biblical character]
incantevole,enchanting / charming / beautiful / delightful
violenta,violent woman
imboscata,ambush
can,khan / dog
mercoledì,Wednesday
faccende,issue / matter / affair / business / thing / housework / household chores
resterai,to remain / to stay
divertita,amused
servisse,to need / to plate / to serve
piccolina,little one
casse,case / crate / cash register / cash desk / drum
ammazza,to kill / murder
necessariamente,necessarily
squillo,blast [of a trumpet / etc.] / prostitute / trollop / strumpet / whore
piccante,spicy / hot
country,country music
quassù,up here
bevuta,A drunken party / Heavy drinking
incontra,to play / fight
franco,frank / candid / Frankish / free
alloggio,flat / apartment / lodging / accommodation
vitali,life
poltrona,armchair
fingendo,To dissemble / To pretend or feign
ritrovo,hangout / meeting place
caduti,to die / to drop / crash / to fall
tredici,thirteen
saltata,To blow / to fuse / To come off / to snap / to break / To dance
sufficienza,haughtiness / arrogance / snobbery
sposta,to change / postpone / to move / shift / displace / budge / get off
combinando,to agree / fit / coincide / to do / be up to / to arrange / organize / agree
grandezza,grandeur / greatness / magnitude
tenerli,to have / to hold / keep / to take
ammettilo,to admit / accept / acknowledge / to bear / tolerate / brook
definizione,definition
osare,to dare / venture / to risk / attempt
sudore,sweat / perspiration
alzarsi,pay / go / going
tradire,to betray / to reveal
gelosia,jealousy / shutter
gallina,hen / hens'
aquila,eagle / eagle
bestiame,cattle and sheep etc considered as an agricultural commodity / stock
riservata,confidential / reserved
lite,A quarrel / row / altercation / fight / A suit / lawsuit
furba,cunning / sly / wily / crafty (f.)
ometto,Small person
svizzera,hamburger / Swiss / Switzerland
riuniti,collected / assembled / reunited
muso,front / muzzle / nose
approvato,approved
teorie,theory
bè,well
benone,Very well
esclusiva,exclusive / scoop / sole right / patent
infantile,infantile puerile / childish / babyish / infantile
pacifico,peaceable / peaceful / The Pacific
butti,to shape / to turn / to beat in
caviglia,ankle / pin / peg
presentata,presentation
giubbotto,bomber jacket / jackets
frocio,queer [homosexual] / queer / faggot [US] / poof [UK] [homosexual male]
piccolino,small / tiny / little one
costano,to cost
residenza,residence / abode / domicile / residence / house / building / home
pesa,weighbridge / weighing / weighing machine
rossetto,lipstick
poesie,illusion / daydream / poem / poetry / verse
aspettative,expectation
giganti,huge / giant / gigantic / colossal / giant
iniziale,initial / opening / first / starting / beginning / initial letter / initials
pecore,ewe / sheep / milksop / sheep
eletto,elected (p.p. of eleggere)
fuma,to smoke
frena,to brake
scritte,written (f.)
servivano,to need / to plate / to serve
emotivo,emotional / emotive / emotional person / emotionalist
or,or
cervo,deer / stag
rimarra,to remain
frutti,fruit / harvest
attivato,to activate / to start
incredibili,incredible / unbelievable / wow
toccata,toccata
fica,fig / pussy / sexually attractive woman
scambiato,to exchange / trade / bargain / swap / to exchange / swap / switch
dirigere,to address / to conduct / to lead
pensero,I will think
maglione,sweater / cardigan / jumper
sponsor,sponsor
stima,esteem / estimate / valuation / respect
rimesso,put back (p.p. of rimettere)
offeso,offended / hurt / An offended person
rivisto,reviewed / seen again (p.p. of rivedere)
sentimentale,sentimental / romantic / A sentimental woman / a romantic woman
tana,burrow / hideout / lair / den
cedere,to retreat / to subside or cave in / to yield / surrender or give in
convincerlo,to convince / persuade / argue / satisfy
franchi,Franks
sputa,to spit
disegnare,to draw / drawing / plans
punteggio,mark / score
toccarlo,to touch
vigilia,eve / vigil / Christmas Eve
disponibili,available / disposable / at one's disposal / free / helpful / ready to help
sasso,stone / rock / boulder / pebble / stone / rock
iscritto,enrolled / inscribed / registered / entered
sottomarino,submarine / underwater / submarine
umile,humble / A humble woman / The humble
cuba,cupola / Cuba
vescovo,bishop
stufato,stew
fottutamente,bloody / fucking
disperatamente,desperately / hopelessly
sacrifici,cost / sacrifice
accompagnare,takes / take / took
interrogare,to question / to test
seme,bean / pip / seed
bruciata,burnt
libretto,booklet
litri,litre
alzata,cake stand / lifting / raising / top
farmacia,drugstore / pharmacy / pharmacy's
odiare,hate / (to) hate / loathe
